queue,folder,url,id,type,pageUpdated
technology,application-development,https://www.oracle.com/application-development/visual-builder/,RC34v2,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/,RC29,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/,RC37v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/,RC31,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/faq/,CT12,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/faq/,RC98,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/faq/,RT01,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/faq/,RC78,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/visual-builder/faq/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,CT12,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/,RC59v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/,RC103,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC02,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC56,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC29,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/,RC59v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,U03v5,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/applications-unlimited/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/,RH03v3,a11y-true,true
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/,RC24,a11y-true,true
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/,RC24,a11y-true,true
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/,RC24,a11y-true,true
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/,RC24,a11y-true,true
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,U03v6,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
